,rowid,pollid,pollster,location,startdate,enddate,samplesize,sampletype,methodology,candidate,percent
0,3,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Bennet,0.3
1,4,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Biden,32.1
2,5,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Sanders,24.7
3,6,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Warren,12.4
4,7,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Buttigieg,7.7
5,8,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Yang,6.3
6,9,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Bloomberg,2.8
7,10,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Klobuchar,2.0
8,11,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Gabbard,3.9
9,12,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Steyer,1.7
10,13,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Booker,2.0
11,14,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Patrick,0.1
12,15,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Castro,0.2
13,16,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Delaney,0.9
14,17,63139,Emerson College,,12/15/19,12/17/19,525,lv,IVR/Online,Williamson,0.4
15,22,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Biden,29.0
16,23,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Sanders,19.0
17,24,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Warren,17.0
18,25,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Buttigieg,7.0
19,26,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Bloomberg,4.0
20,27,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Klobuchar,4.0
21,28,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Yang,3.0
22,29,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Gabbard,3.0
23,30,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Booker,2.0
24,31,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Steyer,2.0
25,32,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Castro,2.0
26,33,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Delaney,1.0
27,34,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Bennet,1.0
28,35,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Williamson,1.0
29,36,63146,YouGov,,12/14/19,12/17/19,555,lv,Online,Patrick,0.0
30,37,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Biden,30.0
31,38,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Sanders,16.0
32,39,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Warren,17.0
33,40,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Booker,2.0
34,41,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Klobuchar,3.0
35,42,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Castro,1.0
36,43,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Gabbard,1.0
37,44,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Delaney,0.0
38,45,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Buttigieg,9.0
39,46,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Yang,3.0
40,47,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Williamson,0.0
41,48,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Bennet,0.0
42,49,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Steyer,1.0
43,50,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Patrick,0.0
